City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pokaran,26.9167,71.9167,18.35,30,100,4.83,IN,1707245721
1,yellowknife,62.456,-114.3525,-19.21,90,100,5.14,CA,1707245711
2,waitangi,-43.9535,-176.5597,17.68,93,100,2.68,NZ,1707245457
3,blackmans bay,-43.0167,147.3167,13.07,80,94,1.6,AU,1707245723
4,bethel,41.3712,-73.414,5.11,50,0,2.57,US,1707245724
5,bredasdorp,-34.5322,20.0403,21.94,62,1,7.81,ZA,1707245725
6,pechora,65.1472,57.2244,-22.3,100,99,1.79,RU,1707245726
7,yuzhno-kurilsk,44.0306,145.8556,-8.68,81,90,2.76,RU,1707245726
8,valjevo,44.2751,19.8982,11.0,65,82,0.72,RS,1707245727
9,jamestown,42.097,-79.2353,5.29,48,0,2.06,US,1707245728
10,tsiombe,-25.3,45.4833,22.91,94,64,3.33,MG,1707245729
11,port-aux-francais,-49.35,70.2167,6.15,86,100,12.23,TF,1707245730
12,stavern,59.0,10.0333,-6.01,91,100,9.14,NO,1707245730
13,atafu village,-8.5421,-172.5159,29.12,76,100,11.39,TK,1707245731
14,vargashi,55.3556,65.8467,-1.61,89,100,7.17,RU,1707245732
15,edinburgh of the seven seas,-37.0676,-12.3116,17.04,68,14,2.72,SH,1707245733
16,west island,-12.1568,96.8225,26.99,83,40,3.09,CC,1707245733
17,pavlodar,52.3,76.95,-9.11,73,0,8.0,KZ,1707245734
18,st. john's,47.5649,-52.7093,1.2,96,100,15.2,CA,1707245734
19,grytviken,-54.2811,-36.5092,10.65,52,2,1.85,GS,1707245735
20,longyearbyen,78.2186,15.6401,-9.09,62,40,8.23,SJ,1707245730
21,san patricio,28.017,-97.5169,20.65,47,0,1.3,US,1707245736
22,ilulissat,69.2167,-51.1,-12.99,47,75,10.8,GL,1707245737
23,brisas de zicatela,15.8369,-97.0419,27.06,70,21,4.06,MX,1707245738
24,avarua,-21.2078,-159.775,29.03,79,75,5.14,CK,1707245738
25,haiku-pauwela,20.9219,-156.3051,22.32,66,0,5.36,US,1707245739
26,luderitz,-26.6481,15.1594,19.97,81,24,6.27,NA,1707245740
27,papatowai,-46.5619,169.4708,11.6,94,100,3.66,NZ,1707245741
28,whitehorse,60.7161,-135.0538,-17.57,78,100,2.57,CA,1707245741
29,adamstown,-25.066,-130.1015,24.89,80,5,0.99,PN,1707245742
30,zouerate,22.7187,-12.4521,22.04,7,26,4.01,MR,1707245742
31,lihue,21.9789,-159.3672,22.77,74,100,8.75,US,1707245713
32,palikir - national government center,6.9248,158.1611,26.41,83,40,2.06,FM,1707245744
33,saipan,15.1355,145.701,24.39,73,20,3.09,MP,1707245744
34,homosassa springs,28.8036,-82.5759,20.64,45,0,5.14,US,1707245745
35,badger,64.8,-147.5333,-16.77,82,75,2.06,US,1707245745
36,fethiye,36.6217,29.1164,11.93,67,4,1.45,TR,1707245746
37,east london,-33.0153,27.9116,24.52,78,0,6.17,ZA,1707245741
38,stanley,54.868,-1.6985,4.84,74,20,4.63,GB,1707245747
39,merritt,50.1123,-120.7942,0.18,87,100,1.79,CA,1707245748
40,plettenberg bay,-34.0527,23.3716,20.32,86,100,2.19,ZA,1707245748
41,pisco,-13.7,-76.2167,29.03,58,0,4.63,PE,1707245749
42,chernyshevsk,52.5243,117.0174,-23.56,99,100,0.81,RU,1707245750
43,puerto ayora,-0.7393,-90.3518,30.98,78,69,5.0,EC,1707245750
44,uturoa,-16.7333,-151.4333,27.84,85,100,8.21,PF,1707245751
45,verkhniye kigi,55.4083,58.6044,0.28,82,100,6.91,RU,1707245752
46,el bolson,-41.9667,-71.5167,17.25,74,100,3.4,AR,1707245753
47,albany,42.6001,-73.9662,3.71,58,6,1.34,US,1707245753
48,porto tolle,44.9497,12.3245,10.35,81,100,2.21,IT,1707245754
49,albox,37.3886,-2.1495,14.07,49,60,5.22,ES,1707245755
50,chui,-33.6971,-53.4616,26.1,58,2,6.18,UY,1707245755
51,agua branca,-5.8922,-42.6361,30.84,49,100,1.88,BR,1707245756
52,ushuaia,-54.8,-68.3,17.81,42,0,2.57,AR,1707245757
53,timmins,48.4669,-81.3331,0.9,80,100,3.6,CA,1707245485
54,yorkton,51.2167,-102.4677,-2.09,86,100,1.54,CA,1707245758
55,arteche,12.2645,125.4048,24.51,86,13,3.17,PH,1707245759
56,lagos,6.5833,3.75,31.18,61,6,2.01,NG,1707245498
57,kone,-21.0595,164.8658,24.91,91,100,2.39,NC,1707245760
